on-heater,temp,Class
FALSE,21.2,prestate
TRUE,22.2,poststate
FALSE,19.1,prestate
TRUE,24.4,poststate
FALSE,22.4,prestate
TRUE,24.1,poststate
FALSE,20.2,prestate
TRUE,23.2,poststate
FALSE,18.9,prestate
TRUE,23.9,poststate
FALSE,19.3,prestate
TRUE,22.2,poststate
FALSE,18.9,prestate
TRUE,21.5,poststate
FALSE,18.4,prestate
TRUE,24.2,poststate
FALSE,20.5,prestate
TRUE,22.4,poststate
FALSE,21,prestate
TRUE,23.5,poststate
FALSE,19.9,prestate
TRUE,24,poststate
FALSE,20.4,prestate
TRUE,24.2,poststate
FALSE,18.7,prestate
TRUE,22.8,poststate
FALSE,21,prestate
TRUE,22.9,poststate
FALSE,18.2,prestate
TRUE,24.9,poststate
FALSE,18.7,prestate
TRUE,24.3,poststate
FALSE,19.2,prestate
TRUE,22.3,poststate
FALSE,18.2,prestate
TRUE,23.7,poststate
FALSE,19.4,prestate
TRUE,22.9,poststate
FALSE,19.1,prestate
TRUE,24.1,poststate
FALSE,21.9,prestate
TRUE,24.7,poststate
